code,type,shape_uk,stone_key,tier,file,prompt
123,single,"Одинарний, серце",gabbro,prosta,123-single-gabbro.png,"heart-shaped single stele on a pedestal with a flower bed, plain rectangular edges, name and dates only. Stone: deep black polished gabbro, mirror-like, no inclusions. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
124,single,"Одинарний, розгорнута книга",labradorite,bazova,124-single-labradorite.png,"single stele carved as an open book on a low pedestal, simple profiled edge, small engraved cross. Stone: black labradorite with blue-green iridescent flashes. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
125,single,"Одинарний, хвиля",Покостівський,standartna,125-single-Покостівський.png,"single stele with a wave-shaped asymmetric top, figured top, engraved ornament along one edge. Stone: light grey fine-grained Pokostivka granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
126,single,"Одинарний, арка з колонами",Танський,skladna,126-single-Танський.png,"single arched stele framed by two carved columns, hand-carved relief elements, combination of polished and matte surfaces. Stone: light grey Tanske granite with small dark specks. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: no portrait, engraved orthodox cross instead. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
127,single,"Одинарний, скошена стела",Софіївський,elitna,127-single-Софіївський.png,"single stele with a diagonal cut top and engraved cross, sculptural carving, gilded details, two-stone combination, premium finish. Stone: warm grey-beige Sofiivka granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
128,single,"Одинарний, з вирізом під хрест",Корнинський,prosta,128-single-Корнинський.png,"single stele with a cut-out cross silhouette on top, plain rectangular edges, name and dates only. Stone: grey-pink coarse 'Leopard' Kornyn granite. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
129,single,"Одинарний, тюльпан",Капустинський,bazova,129-single-Капустинський.png,"single stele with a tulip-shaped outline, simple profiled edge, small engraved cross. Stone: pinkish-red Kapustyne granite, medium grain. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic rectangle with a Christ icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
130,single,"Одинарний, дубова гілка",Лезниківський,standartna,130-single-Лезниківський.png,"single stele with a carved oak branch along the side, figured top, engraved ornament along one edge. Stone: brick-red coarse-grained Leznyky granite, polished. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: no portrait, engraved orthodox cross instead. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
131,single,"Одинарний, крапля",Межиріцький,skladna,131-single-Межиріцький.png,"single stele with a teardrop outline, hand-carved relief elements, combination of polished and matte surfaces. Stone: red Mezhyrichka granite with large grey 'flower' inclusions. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: ceramic oval with a Madonna icon. Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
132,single,"Одинарний, з лампадою",Токівський,elitna,132-single-Токівський.png,"single rectangular stele with a matching granite lamp and vase, sculptural carving, gilded details, two-stone combination, premium finish. Stone: red-brown Tokivske granite with dark specks. Photorealistic product photo of a memorial in a misty pine cemetery in Polissia, Ukraine: autumn morning fog, soft diffused light, eye-level 50mm lens, monument centered and fully visible, granite paving path on the left, blurred old headstones and pines in the background, muted natural colours, portrait 4:5 (e.g. 2048×2560), monument fills about 70 % of the frame height. Portrait placeholder: laser-engraved portrait area left blank (subtle lighter oval). Engraved gold placeholder text 'Прізвище Ім'я По-батькові' and dates '00.00.0000 — 00.00.0000', no real names, no other readable text, no people, no watermark."
